ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
642.6,274.74,2.919,10.25,-8.94,13.60095952,,642.6,274.74,2.919,9.5,-8.28,12.60095952,,642.6,274.74,2.919,9.5,-8.28,12.60095952,,0.716801621650108,2.28775192085661
646.8,274.7,2.919,10.26,-8.92,13.59536686,,646.8,274.7,2.919,9.51,-8.26,12.59536686,,646.8,274.7,2.919,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
650.9,274.57,2.92,10.26,-8.92,13.59536686,,650.9,274.57,2.92,9.51,-8.26,12.59536686,,650.9,274.57,2.92,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
655.1,274.53,2.92,10.26,-8.92,13.59536686,,655.1,274.53,2.92,9.51,-8.26,12.59536686,,655.1,274.53,2.92,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
659.2,274.49,2.92,10.26,-8.92,13.59536686,,659.2,274.49,2.92,9.51,-8.26,12.59536686,,659.2,274.49,2.92,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
663.4,274.35,2.921,10.26,-8.92,13.59536686,,663.4,274.35,2.921,9.51,-8.26,12.59536686,,663.4,274.35,2.921,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
667.5,274.31,2.921,10.26,-8.92,13.59536686,,667.5,274.31,2.921,9.51,-8.26,12.59536686,,667.5,274.31,2.921,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
671.6,274.28,2.921,10.26,-8.92,13.59536686,,671.6,274.28,2.921,9.51,-8.26,12.59536686,,671.6,274.28,2.921,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
675.8,274.14,2.922,10.26,-8.92,13.59536686,,675.8,274.14,2.922,9.51,-8.26,12.59536686,,675.8,274.14,2.922,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
679.9,274.1,2.922,10.26,-8.92,13.59536686,,679.9,274.1,2.922,9.51,-8.26,12.59536686,,679.9,274.1,2.922,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
684.1,274.06,2.922,10.26,-8.92,13.59536686,,684.1,274.06,2.922,9.51,-8.26,12.59536686,,684.1,274.06,2.922,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
688.2,273.92,2.923,10.26,-8.92,13.59536686,,688.2,273.92,2.923,9.51,-8.26,12.59536686,,688.2,273.92,2.923,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
692.1,273.89,2.923,10.26,-8.92,13.59536686,,692.1,273.89,2.923,9.51,-8.26,12.59536686,,692.1,273.89,2.923,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
695.9,273.86,2.923,10.26,-8.92,13.59536686,,695.9,273.86,2.923,9.51,-8.26,12.59536686,,695.9,273.86,2.923,9.51,-8.26,12.59536686,,0.715081905522727,2.28603378095985
